"","Predator","Prey","Ratio","MeanOrMedian","Type.of.feeding.interaction"
"1",6.06403752213459,2.41088614444964,3.65315137768494,"Mean","predacious/piscivorous"
"2",7.71223438647515,1.63552827510992,6.07670611136523,"Mean","piscivorous"
"3",-2.8444155291803,-12.2973266641226,9.45291113494234,"Mean","planktivorous"
"4",4.77986971956941,-3.3992920045753,8.1791617241447,"Mean","predacious"
"5",-0.19768531886863,-2.97649490953736,2.77880959066873,"Mean","insectivorous"
"6",6.38012253689976,2.61006979274201,3.71028336277709,"Median","predacious/piscivorous"
"7",7.97246601597457,1.81807677754543,5.61677109766657,"Median","piscivorous"
"8",-3.83506196429202,-13.9524764130374,9.82552601106642,"Median","planktivorous"
"9",6.4118182677099,-1.52326021619305,8.29090937545023,"Median","predacious"
"10",-0.155625491649087,-3.11903048989848,2.6155823718929,"Median","insectivorous"
